Image,Race,Trait,Type
Images/S_B_I1_01.png,Black,Submissive,normal
Images/S_B_I1_02.png,Black,Submissive,normal
Images/S_B_I2_01.png,Black,Submissive,normal
Images/S_B_I2_02.png,Black,Submissive,normal
Images/S_B_I3_01.png,Black,Submissive,normal
Images/S_B_I3_02.png,Black,Submissive,normal
Images/S_B_I4_01.png,Black,Submissive,normal
Images/S_B_I4_02.png,Black,Submissive,normal
Images/S_B_I5_01.png,Black,Submissive,normal
Images/S_B_I5_02.png,Black,Submissive,normal
Images/S_B_I1_03.png,Black,Dominant,normal
Images/S_B_I1_04.png,Black,Dominant,normal
Images/S_B_I2_03.png,Black,Dominant,normal
Images/S_B_I2_04.png,Black,Dominant,normal
Images/S_B_I3_03.png,Black,Dominant,normal
Images/S_B_I3_04.png,Black,Dominant,normal
Images/S_B_I4_03.png,Black,Dominant,normal
Images/S_B_I4_04.png,Black,Dominant,normal
Images/S_B_I5_03.png,Black,Dominant,normal
Images/S_B_I5_04.png,Black,Dominant,normal
Images/S_B_I3_01.png,Black,Submissive,normal
Images/S_B_I4_02.png,Black,Submissive,normal
Images/S_B_I2_03.png,Black,Dominant,normal
Images/S_B_I3_04.png,Black,Dominant,normal
