Image,Race,Trait,Type
Images/S_C_I1_03.png,Caucasian,Dominant,normal
Images/S_C_I1_04.png,Caucasian,Dominant,normal
Images/S_C_I2_03.png,Caucasian,Dominant,normal
Images/S_C_I2_04.png,Caucasian,Dominant,normal
Images/S_C_I3_03.png,Caucasian,Dominant,normal
Images/S_C_I3_04.png,Caucasian,Dominant,normal
Images/S_C_I4_03.png,Caucasian,Dominant,normal
Images/S_C_I4_04.png,Caucasian,Dominant,normal
Images/S_C_I5_03.png,Caucasian,Dominant,normal
Images/S_C_I5_04.png,Caucasian,Dominant,normal
Images/S_C_I1_01.png,Caucasian,Submissive,normal
Images/S_C_I1_02.png,Caucasian,Submissive,normal
Images/S_C_I2_01.png,Caucasian,Submissive,normal
Images/S_C_I2_02.png,Caucasian,Submissive,normal
Images/S_C_I3_01.png,Caucasian,Submissive,normal
Images/S_C_I3_02.png,Caucasian,Submissive,normal
Images/S_C_I4_01.png,Caucasian,Submissive,normal
Images/S_C_I4_02.png,Caucasian,Submissive,normal
Images/S_C_I5_01.png,Caucasian,Submissive,normal
Images/S_C_I5_02.png,Caucasian,Submissive,normal
Images/S_C_I1_03.png,Caucasian,Dominant,normal
Images/S_C_I2_04.png,Caucasian,Dominant,normal
Images/S_C_I1_02.png,Caucasian,Submissive,normal
Images/S_C_I3_01.png,Caucasian,Submissive,normal
