RKey.keys,RKey.rt,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,Ratingtrials.ran,Image,Gender,AgeGroup,MacID,Age,"Ethnicity (e.g., African, Asian, & Caucasian)",date,expName,psychopyVersion,OS,frameRate,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,RatingBlock
space,0.9455,50.02285428,1.4626,0.005904338,-0.359730767,1,0,0,NextBu,1.347722203,0,0,0,1,1,Images/F-A-C.jpg,,Adult ,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.03175465,6.6941,0.020692828,-0.393711505,1,0,0,NextBu,1.026526089,0,1,1,2,1,Images/F-C-A.jpg,,Adult ,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,49.66175062,1.0625,-0.001206786,-0.374782784,1,0,0,NextBu,0.863765479,0,2,2,0,1,Images/F-A-A.jpg,,Adult ,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.0344926,0.7544,0.000344926,-0.381553411,1,0,0,NextBu,0.536491015,0,3,3,5,1,Images/M-A-C.jpg,,Adult ,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.29248665,0.7319,0.010548803,-0.390804194,1,0,0,NextBu,0.676464614,0,4,4,4,1,Images/M-A-A.jpg,,Adult ,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.44909504,0.5659,-0.000151633,-0.400838156,1,0,0,NextBu,0.812870318,0,5,5,6,1,Images/M-C-A.jpg,,Adult ,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.09927536,1.0969,0.00357606,-0.386707835,1,0,0,NextBu,1.052335732,0,6,6,3,1,Images/F-C-C.jpg,,Adult ,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.52508427,0.6465,0.005603409,-0.38163182,1,0,0,NextBu,0.687269324,0,7,7,7,1,Images/M-C-C.jpg,,Adult ,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,0,0,0,5,1,TrialCondition_F.xlsx
,,50.23471702,0.6933,0.004893,-0.397012134,1,0,0,NextBu,0.510850623,0,0,0,0,1,Images/midA-M-ver5.jpg,,midadult,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.22371977,0.7554,0.010565267,-0.397019047,1,0,0,NextBu,0.887323416,0,1,1,2,1,Images/midA-F-ver2.jpg,,midadult,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.46183875,0.5779,0.004618387,-0.388640675,1,0,0,NextBu,0.626492173,0,2,2,1,1,Images/midA-M-ver6.jpg,,midadult,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.12673664,0.6705,0.0098172,-0.365295046,1,0,0,NextBu,0.720311341,0,3,3,3,1,Images/midA-F-ver3.jpg,,midadult,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,0,1,1,3,1,TrialCondition_D.xlsx
,,50.63673949,0.5596,0.006367395,-0.379534157,1,0,0,NextBu,0.889199791,0,0,0,3,1,Images/chld-F-ver3.jpg,,child,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.31471764,0.9766,0.011560932,-0.385457023,1,0,0,NextBu,1.240549076,0,1,1,2,1,Images/chld-F-ver2.jpg,,child,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.35320345,0.9817,0.003532034,-0.393370854,1,0,0,NextBu,1.055386342,0,2,2,1,1,Images/chld-M-ver3.jpg,,child,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.11916864,0.904,0.003980838,-0.397759291,1,0,0,NextBu,1.043091502,0,3,3,0,1,Images/chld-M-ver2.jpg,,child,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2021-11-13_20h18.59.035,FatFaceRating,2021.2.3,MacIntel,60.0024001,0,2,2,0,1,TrialCondition_A.xlsx
