RatingBlock,Image,Gender,AgeGroup,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,RInstr.started,RInstr.stopped,RKey.keys,RKey.rt,RKey.started,RKey.stopped,image_5.started,image_5.stopped,slider.response,slider.rt,slider.started,slider.stopped,NextBu.started,NextBu.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,ITI,text.started,text.stopped,MacID,Gender,Age,Ethnicity (e.g., African, Asian, & Caucasian),date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,13.993721631006338,None,space,0.6313422180246562,13.993721631006338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_E.xlsx,Images/sA-F-ver7.jpg,,senioradult,0,0,0,4,0,0,0,3,,,,,,,14.738286517909728,None,49.77777777777778,1.4822805190924555,15.024698788998649,None,15.024698788998649,None,0.0044444444444444444,-0.3566666666666667,1,0,0,NextBu,0.32345833792351186,None,15.024698788998649,None,15.024698788998649,None,1.3961324469052174,16.68640831997618,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_E.xlsx,Images/sA-M-ver4.jpg,,senioradult,0,0,0,4,0,1,1,0,,,,,,,18.1454762800131,None,51.0,1.0868651529308408,18.439787186915055,None,18.439787186915055,None,0.0077777777777777776,-0.3844444444444444,1,0,0,NextBu,0.3130744743393734,None,18.439787186915055,None,18.439787186915055,None,1.0519607060028435,19.626263698912226,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_E.xlsx,Images/sA-F-ver1.jpg,,senioradult,0,0,0,4,0,2,2,2,,,,,,,20.734841670957394,None,50.77777777777778,0.6727244750363752,21.02461962995585,None,21.02461962995585,None,0.0077777777777777776,-0.35777777777777775,1,0,0,NextBu,0.31394051131792367,None,21.02461962995585,None,21.02461962995585,None,0.7350918681017663,21.734489946975373,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_E.xlsx,Images/sA-M-ver7.jpg,,senioradult,0,0,0,4,0,3,3,1,,,,,,,22.51911937794648,None,50.77777777777778,0.8152185709914193,22.80774792295415,None,22.80774792295415,None,0.008888888888888889,-0.37555555555555553,1,0,0,NextBu,0.314917576382868,None,22.80774792295415,None,22.80774792295415,None,1.3441043256363456,23.833326959982514,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_E.xlsx,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_D.xlsx,Images/midA-M-ver5.jpg,,midadult,0,1,1,3,0,0,0,0,,,,,,,25.257958000991493,None,50.55555555555556,0.7811679659644142,25.555274416925386,None,25.555274416925386,None,0.005555555555555556,-0.37333333333333335,1,0,0,NextBu,0.31714555202051997,None,25.555274416925386,None,25.555274416925386,None,0.6057113262386166,26.458584606996737,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_D.xlsx,Images/midA-M-ver6.jpg,,midadult,0,1,1,3,0,1,1,1,,,,,,,27.118427274981514,None,50.0,1.3829712469596416,27.40790690795984,None,27.40790690795984,None,0.012222222222222223,-0.4066666666666667,1,0,0,NextBu,0.3156909722601995,None,27.40790690795984,None,27.40790690795984,None,0.7748306182011049,29.10375607898459,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_D.xlsx,Images/midA-F-ver2.jpg,,midadult,0,1,1,3,0,2,2,2,,,,,,,29.93167340895161,None,49.888888888888886,0.9651534090517089,30.229485497926362,None,30.229485497926362,None,0.01,-0.3788888888888889,1,0,0,NextBu,0.3247171592665836,None,30.229485497926362,None,30.229485497926362,None,0.8640210524267065,31.349730930989608,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_D.xlsx,Images/midA-F-ver3.jpg,,midadult,0,1,1,3,0,3,3,3,,,,,,,32.26670638890937,None,50.888888888888886,0.7386501079890877,32.558737077983096,None,32.558737077983096,None,0.011111111111111112,-0.37777777777777777,1,0,0,NextBu,0.3212732372339815,None,32.558737077983096,None,32.558737077983096,None,0.7639939513506276,33.513063177932054,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
