RatingBlock,Image,Gender,AgeGroup,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,RInstr.started,RInstr.stopped,RKey.keys,RKey.rt,RKey.started,RKey.stopped,image_5.started,image_5.stopped,slider.response,slider.rt,slider.started,slider.stopped,NextBu.started,NextBu.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,ITI,text.started,text.stopped,MacID,Gender,Age,Ethnicity (e.g., African, Asian, & Caucasian),date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,10.782322396989912,None,space,1.4359552590176463,10.782322396989912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_C.xlsx,Images/yA-M-ver5.jpg,,youngadult,0,0,0,2,0,0,0,0,,,,,,,12.31070696900133,None,50.55555555555556,1.5701903899898753,12.59844582900405,None,12.59844582900405,None,0.0044444444444444444,-0.35888888888888887,1,0,0,NextBu,0.3231010460294783,None,12.59844582900405,None,12.59844582900405,None,0.5607849721813828,14.668681015027687,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_C.xlsx,Images/yA-F-ver2.jpg,,youngadult,0,0,0,2,0,1,1,2,,,,,,,15.25055908295326,None,50.11111111111111,1.043426219956018,15.552346508949995,None,15.552346508949995,None,0.005555555555555556,-0.3844444444444444,1,0,0,NextBu,0.3184394988929853,None,15.552346508949995,None,15.552346508949995,None,1.2968064584633265,16.749454146949574,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_C.xlsx,Images/yA-M-ver7.jpg,,youngadult,0,0,0,2,0,2,2,1,,,,,,,18.06402706296649,None,50.0,0.6710212430916727,18.35160970396828,None,18.35160970396828,None,0.0,-0.4022222222222222,1,0,0,NextBu,0.30923580890521407,None,18.35160970396828,None,18.35160970396828,None,0.8458215621143356,19.08767356700264,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_C.xlsx,Images/yA-F-ver5.jpg,,youngadult,0,0,0,2,0,3,3,3,,,,,,,19.965644467971288,None,49.666666666666664,1.1160792779410258,20.266277618007734,None,20.266277618007734,None,0.0044444444444444444,-0.38555555555555554,1,0,0,NextBu,0.32080298010259867,None,20.266277618007734,None,20.266277618007734,None,1.2377692454645963,21.5809101939667,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_C.xlsx,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/M-C-A-ver3.jpg,,Adult ,0,1,1,5,0,0,0,22,,,,,,,22.861263906001113,None,50.44444444444445,1.68319715897087,23.151520355022512,None,23.151520355022512,None,0.0033333333333333335,-0.37777777777777777,1,0,0,NextBu,0.3108856851467863,None,23.151520355022512,None,23.151520355022512,None,0.5540571883654036,25.049948932952248,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/F-C-A-ver2.jpg,,Adult ,0,1,1,5,0,1,1,10,,,,,,,25.62943616998382,None,49.666666666666664,1.4229763420298696,25.91845703800209,None,25.91845703800209,None,0.01,-0.36444444444444446,1,0,0,NextBu,0.30935379990842193,None,25.91845703800209,None,25.91845703800209,None,1.0204676207061678,27.569927491946146,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/M-A-A-ver3.jpg,,Adult ,0,1,1,5,0,2,2,20,,,,,,,28.61043633602094,None,49.77777777777778,2.1454244419001043,28.901855885982513,None,28.901855885982513,None,0.01,-0.37777777777777777,1,0,0,NextBu,0.31366069393698126,None,28.901855885982513,None,28.901855885982513,None,1.1023702337578676,31.170162278926,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/M-A-A-ver1.jpg,,Adult ,0,1,1,5,0,3,3,4,,,,,,,32.29498753394,None,50.0,1.6921489760279655,32.584721985971555,None,32.584721985971555,None,0.0044444444444444444,-0.38555555555555554,1,0,0,NextBu,0.3130095569649711,None,32.584721985971555,None,32.584721985971555,None,0.5155456507495594,34.33319344103802,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/F-C-C-ver3.jpg,,Adult ,0,1,1,5,0,4,4,19,,,,,,,34.86697987001389,None,49.888888888888886,1.3095451859990135,35.156919157947414,None,35.156919157947414,None,0.0,-0.3933333333333333,1,0,0,NextBu,0.31252075801603496,None,35.156919157947414,None,35.156919157947414,None,0.6986501104099058,37.6585909309797,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
