RatingBlock,Image,Race,Trait,Type,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,RInstr.started,RInstr.stopped,RKey.keys,RKey.rt,RKey.started,RKey.stopped,image_5.started,image_5.stopped,slider.response,slider.rt,slider.started,slider.stopped,NextBu.started,NextBu.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,ITI,text.started,text.stopped,EndText.started,EndText.stopped,MacID,Gender,Age,Ethnicity (e.g., African, Asian, & Caucasian),date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,11.656709207978565,None,space,6.2070573340170085,11.656709207978565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I3_04.png,Black,Dominant,normal,0,0,0,1,0,0,0,23,,,,,,,17.926462707982864,None,60.44444444444444,2.534534457983682,18.205427707987837,None,18.205427707987837,None,0.025555555555555557,-0.39555555555555555,1,0,0,NextBu,0.3139570875209756,None,18.205427707987837,None,18.205427707987837,None,0.749904896576627,21.022033666988136,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I4_03.png,Black,Dominant,normal,0,0,0,1,0,1,1,16,,,,,,,21.77353987499373,None,19.77777777777778,2.441099584015319,22.072191374987597,None,22.072191374987597,None,-0.05555555555555555,-0.37222222222222223,1,0,0,NextBu,0.30885965350898914,None,22.072191374987597,None,22.072191374987597,None,1.3810593458558555,24.90587345798849,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I1_01.png,Black,Submissive,normal,0,0,0,1,0,2,2,0,,,,,,,26.2901967499929,None,59.0,1.1406355829967652,26.589708624989726,None,26.589708624989726,None,0.04,-0.3788888888888889,1,0,0,NextBu,0.3098340294964146,None,26.589708624989726,None,26.589708624989726,None,1.2341264574978061,27.939366374979727,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I2_02.png,Black,Submissive,normal,0,0,0,1,0,3,3,3,,,,,,,29.173559791990556,None,58.77777777777777,0.8737898329854943,29.47308191700722,None,29.47308191700722,None,-0.011111111111111112,-0.3988888888888889,1,0,0,NextBu,0.309113862545928,None,29.47308191700722,None,29.47308191700722,None,0.5195375837618287,30.555930000002263,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I1_03.png,Black,Dominant,normal,0,0,0,1,0,4,4,10,,,,,,,31.090407499985304,None,40.11111111111111,1.1074838750064373,31.389491249981802,None,31.389491249981802,None,-0.04555555555555556,-0.37777777777777777,1,0,0,NextBu,0.3087840715015773,None,31.389491249981802,None,31.389491249981802,None,1.3846046372290925,32.7224062079913,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I1_02.png,Black,Submissive,normal,0,0,0,1,0,5,5,1,,,,,,,34.110982666985365,None,79.66666666666666,2.003238875011448,34.40580129198497,None,34.40580129198497,None,0.01888888888888889,-0.4266666666666667,1,0,0,NextBu,0.30034127851831727,None,34.40580129198497,None,34.40580129198497,None,0.8441558729190392,36.88928791700164,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I3_04.png,Black,Dominant,normal,0,0,0,1,0,6,6,15,,,,,,,37.740434999985155,None,49.888888888888886,1.473768833995564,38.0392535830033,None,38.0392535830033,None,-0.017777777777777778,-0.4166666666666667,1,0,0,NextBu,0.30713461150298826,None,38.0392535830033,None,38.0392535830033,None,1.0514024343643795,39.7390728330065,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I3_02.png,Black,Submissive,normal,0,0,0,1,0,7,7,5,,,,,,,40.79152620799141,None,90.33333333333333,0.989861041016411,41.089071291993605,None,41.089071291993605,None,-0.014444444444444444,-0.3877777777777778,1,0,0,NextBu,0.30680698849027976,None,41.089071291993605,None,41.089071291993605,None,0.9419218426591104,42.37268066700199,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I3_01.png,Black,Submissive,normal,0,0,0,1,0,8,8,4,,,,,,,43.325695124978665,None,59.333333333333336,1.105037250003079,43.62267583300127,None,43.62267583300127,None,-0.008888888888888889,-0.4177777777777778,1,0,0,NextBu,0.30416690348647535,None,43.62267583300127,None,43.62267583300127,None,0.7503347770018056,44.90648524998687,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I2_04.png,Black,Dominant,normal,0,0,0,1,0,9,9,13,,,,,,,45.65714012499666,None,40.33333333333333,1.0577790829993319,45.956917624978814,None,45.956917624978814,None,-0.04666666666666667,-0.3888888888888889,1,0,0,NextBu,0.31065344548551366,None,45.956917624978814,None,45.956917624978814,None,1.4204485756678864,47.156213499984005,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I5_04.png,Black,Dominant,normal,0,0,0,1,0,10,10,19,,,,,,,48.59167720799451,None,20.444444444444443,1.1060767910094,48.88929175000521,None,48.88929175000521,None,-0.09,-0.39111111111111113,1,0,0,NextBu,0.3062509864976164,None,48.88929175000521,None,48.88929175000521,None,0.736659657919086,50.23936616699211,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I4_04.png,Black,Dominant,normal,0,0,0,1,0,11,11,17,,,,,,,50.98918158299057,None,51.0,1.1762161249935161,51.29020245798165,None,51.29020245798165,None,0.021111111111111112,-0.38,1,0,0,NextBu,0.3118699465121608,None,51.29020245798165,None,51.29020245798165,None,0.6756578710453394,52.639060582994716,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I3_03.png,Black,Dominant,normal,0,0,0,1,0,12,12,14,,,,,,,53.32452879199991,None,64.33333333333333,0.9231277919898275,53.622834791982314,None,53.622834791982314,None,-0.035555555555555556,-0.4266666666666667,1,0,0,NextBu,0.3075367374694906,None,53.622834791982314,None,53.622834791982314,None,0.7985329459333869,54.88936962498701,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I5_01.png,Black,Submissive,normal,0,0,0,1,0,13,13,8,,,,,,,55.69024333299603,None,74.8888888888889,1.058776999998372,55.990457832987886,None,55.990457832987886,None,0.011111111111111112,-0.4022222222222222,1,0,0,NextBu,0.31022515351651236,None,55.990457832987886,None,55.990457832987886,None,0.694999191209652,57.27204537499347,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I2_03.png,Black,Dominant,normal,0,0,0,1,0,14,14,22,,,,,,,57.974354000005405,None,57.666666666666664,2.1730463330168277,58.27355899999384,None,58.27355899999384,None,0.04666666666666667,-0.38222222222222224,1,0,0,NextBu,0.30720994650619105,None,58.27355899999384,None,58.27355899999384,None,0.588208920307085,60.57244720798917,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
TrialCondition_B.csv,Images/S_B_I4_02.png,Black,Submissive,normal,0,0,0,1,0,15,15,21,,,,,,,61.1736871250032,None,41.22222222222222,1.0086226249986794,61.47354424998048,None,61.47354424998048,None,-0.06777777777777778,-0.38,1,0,0,NextBu,0.3108634455129504,None,61.47354424998048,None,61.47354424998048,None,1.2968111088228922,62.723413542000344,None,,,,,,,2021_Oct_11_1935,FatFaceOnline,2021.2.3,60.145281055875515,
