RatingBlock,Image,Gender,AgeGroup,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,RInstr.started,RInstr.stopped,RKey.keys,RKey.rt,RKey.started,RKey.stopped,image_5.started,image_5.stopped,slider.response,slider.rt,slider.started,slider.stopped,NextBu.started,NextBu.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,ITI,text.started,text.stopped,EndText.started,EndText.stopped,MacID,Gender,Age,Ethnicity (e.g., African, Asian, & Caucasian),date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,7.946924708987353,None,space,0.7827697910252027,7.946924708987353,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/sA-M-ver4.jpg,,senioradult,0,0,0,1,0,0,0,16,,,,,,,8.944765374995768,None,51.11111111111111,9.503584208985558,9.083281333994819,None,9.083281333994819,None,0.044444444444444446,-0.4255555555555556,1,0,0,NextBu,0.3033887330093421,None,9.083281333994819,None,9.083281333994819,None,1.4070837818924313,19.014563584001735,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/sA-F-ver7.jpg,,senioradult,0,0,0,1,0,1,1,19,,,,,,,20.455100458988454,None,49.666666666666664,1.3675664170004893,20.74814083398087,None,20.74814083398087,None,0.0022222222222222222,-0.39111111111111113,1,0,0,NextBu,0.3133389840077143,None,20.74814083398087,None,20.74814083398087,None,0.7548111425688656,22.38096445897827,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/yA-M-ver7.jpg,,youngadult,0,0,0,1,0,2,2,9,,,,,,,23.150950084003853,None,48.77777777777778,1.0720321250264533,23.44799591699848,None,23.44799591699848,None,-0.006666666666666667,-0.38666666666666666,1,0,0,NextBu,0.30522046601981856,None,23.44799591699848,None,23.44799591699848,None,1.3627555204850559,26.16516870900523,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/yA-F-ver5.jpg,,youngadult,0,0,0,1,0,3,3,11,,,,,,,27.53615924998303,None,30.777777777777782,1.0874047499964945,27.831645250000292,None,27.831645250000292,None,-0.014444444444444444,-0.41444444444444445,1,0,0,NextBu,0.3021006750059314,None,27.831645250000292,None,27.831645250000292,None,1.0393395936062686,29.28083904198138,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/adl-F-ver8.jpg,,adolescent,0,0,0,1,0,4,4,7,,,,,,,30.332146500004455,None,70.33333333333334,1.3574580409913324,30.63128320898977,None,30.63128320898977,None,0.03666666666666667,-0.39,1,0,0,NextBu,0.30890334100695327,None,30.63128320898977,None,30.63128320898977,None,0.6268023446587904,32.56430504200398,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/chld-F-ver2.jpg,,child,0,0,0,1,0,5,5,2,,,,,,,33.20523641697946,None,50.44444444444445,1.2007809579954483,33.49809120898135,None,33.49809120898135,None,-0.0022222222222222222,-0.38666666666666666,0,0,0,NextBu,0.3127081409911625,None,33.49809120898135,None,33.49809120898135,None,1.1048550648751583,35.21430224998039,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/yA-F-ver2.jpg,,youngadult,0,0,0,1,0,6,6,10,,,,,,,36.334005166980205,None,37.888888888888886,1.0053015829762444,36.63083858398022,None,36.63083858398022,None,-0.023333333333333334,-0.37777777777777777,1,0,0,NextBu,0.3041171340155415,None,36.63083858398022,None,36.63083858398022,None,0.680816195214454,37.89742112500244,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/midA-F-ver2.jpg,,midadult,0,0,0,1,0,7,7,14,,,,,,,38.59487345899106,None,92.77777777777779,0.9939347079780418,38.88106225000229,None,38.88106225000229,None,0.04,-0.38,1,0,0,NextBu,0.2997227239829954,None,38.88106225000229,None,38.88106225000229,None,1.254602754533483,40.18134212499717,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_B.xslx,images/midA-F-ver3.jpg,,midadult,0,0,0,1,0,8,8,15,,,,,,,41.46530724997865,None,65.77777777777779,1.058296708011767,41.765000624989625,None,41.765000624989625,None,0.07,-0.37666666666666665,1,0,0,NextBu,0.31018968296120875,None,41.765000624989625,None,41.765000624989625,None,0.7447179245403635,43.11465849998058,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
