mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,onsetTime,leftText,rightText,sliderDirection,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,Ratingtrials.ran,Image,faceGender,AgeGroup,Name,Gender,Age,date,expName,psychopyVersion,OS,frameRate,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,RatingBlockOrder.order,Task,LeftLabel,RightLabel,Ratingtrials.order
0.194364873,-0.287803819,1,0,0,4.3321,正性情绪,负性情绪,normal,70.17650463,1.4897,0.028761574,-0.370967159,1,0,0,NextBu,1.320900251,0,0,0,4,1,Images/yA-M-ver5.jpg,M,youngadult,tst,,,2022-04-22_08h08.05.981,面孔评价,2022.1.2,MacIntel,59.99880002,,,,,,,,,,
,,,,,7.8016,正性情绪,负性情绪,normal,42.68952546,1.4711,-0.022356047,-0.382826968,1,0,0,NextBu,1.022490782,0,1,1,15,1,Images/midA-F-ver3.jpg,F,midadult,tst,,,2022-04-22_08h08.05.981,面孔评价,2022.1.2,MacIntel,59.99880002,,,,,,,,,,
,,,,,10.8509,正性情绪,负性情绪,normal,72.2728588,1.3886,0.015122251,-0.384780093,1,0,0,NextBu,1.237042656,0,2,2,18,1,Images/sA-F-ver7.jpg,F,senadult,tst,,,2022-04-22_08h08.05.981,面孔评价,2022.1.2,MacIntel,59.99880002,,,,,,,,,,
,,,,,14.1506,正性情绪,负性情绪,normal,47.96187789,2.7517,-0.011678964,-0.391004774,1,0,0,NextBu,1.419350364,0,3,3,0,1,Images/adl-M-ver2.jpg,M,adolescent,tst,,,2022-04-22_08h08.05.981,面孔评价,2022.1.2,MacIntel,59.99880002,,,,,,,,,,
,,,,,19.101,正性情绪,负性情绪,normal,51.06807002,1.8698,-0.00525897,-0.386295573,1,0,0,NextBu,0.920928387,0,4,4,1,1,Images/adl-M-ver3.jpg,M,adolescent,tst,,,2022-04-22_08h08.05.981,面孔评价,2022.1.2,MacIntel,59.99880002,,,,,,,,,,
,,,,,22.419,正性情绪,负性情绪,normal,49.05056424,5.0019,-0.014771412,-0.419097222,1,0,0,NextBu,1.019635442,0,5,5,14,1,Images/midA-F-ver2.jpg,F,midadult,tst,,,2022-04-22_08h08.05.981,面孔评价,2022.1.2,MacIntel,59.99880002,,,,,,,,,,
,,,,,29.7526,正性情绪,负性情绪,normal,50.03363715,4.9341,-0.016507523,-0.395818866,1,0,0,NextBu,0.6436033,0,6,6,7,1,Images/yA-F-ver5.jpg,F,youngadult,tst,,,2022-04-22_08h08.05.981,面孔评价,2022.1.2,MacIntel,59.99880002,,,,,,,,,,
,,,,,37.5356,正性情绪,负性情绪,normal,51.22395833,1.6088,0.004644097,-0.357400174,1,0,0,NextBu,1.417354619,0,7,7,6,1,Images/yA-F-ver2.jpg,F,youngadult,tst,,,2022-04-22_08h08.05.981,面孔评价,2022.1.2,MacIntel,59.99880002,,,,,,,,,,
,,,,,41.0362,正性情绪,负性情绪,normal,45.90422454,1.3551,-0.006850405,-0.377416088,1,0,0,NextBu,0.648463119,0,8,8,2,1,Images/adl-F-ver5.jpg,F,adolescent,tst,,,2022-04-22_08h08.05.981,面孔评价,2022.1.2,MacIntel,59.99880002,,,,,,,,,,
,,,,,43.6196,正性情绪,负性情绪,normal,,,,,,,,,,0,9,9,13,1,Images/midA-M-ver6.jpg,M,midadult,tst,,,2022-04-22_08h08.05.981,面孔评价,2022.1.2,MacIntel,59.99880002,0,0,0,1,1,2,表情,正性情绪,负性情绪,19
